"","x","N"
"1","::M∆DE::IN::HEIGHTS::",8
"2","311",2
"3","65daysofstatic",3
"4","A Certain Ratio",4
"5","A Flock of Seagulls",5
"6","A Tribe Called Quest",5
"7","AC/DC",8
"8","Afrojack",5
"9","Alex Torres",3
"10","Alex Torres & His Latin Orchestra",4
"11","Alexander Scriabin",16
"12","Algiers",24
"13","Alirio Díaz",6
"14","All Them Witches",21
"15","Amanda Palmer",4
"16","Andrew Norman",1
"17","Andy Williams",8
"18","Angelo Badalamenti",4
"19","Animal Collective",10
"20","Annette Hanshaw",6
"21","Antônio Carlos Jobim",12
"22","Aperture Science Psychoacoustics Laboratory",17
"23","Approaching Nirvana",1
"24","Arab Strap",5
"25","Arctic Monkeys",9
"26","Ariel",15
"27","Arthur Calkin",1
"28","Artie Shaw and His New Music",8
"29","Astor Piazzolla",3
"30","Astronautalis",10
"31","Atlas Genius",4
"32","Avenged Sevenfold",13
"33","AWOLNATION",7
"34","Band of Skulls",2
"35","Banks",8
"36","Ben Folds",3
"37","Bent Knee",20
"38","Beware of Darkness",9
"39","Bill Elm and Woody Jackson",4
"40","Bill Withers",4
"41","Billie Holiday",14
"42","Billy Joel",4
"43","Billy Preston",7
"44","Billy Stewart",5
"45","Birdeatsbaby",4
"46","Björk",1
"47","blink-182",3
"48","Blockhead",7
"49","Blue October",4
"50","Blue Öyster Cult",8
"51","Bob Crosby And The Bobcats",5
"52","Borgore",3
"53","Born Ruffians",4
"54","Bourgeoisie",3
"55","Brad Sucks",7
"56","Brand New",18
"57","Brian Witzig",20
"58","Bright Eyes",8
"59","Brutus",13
"60","Buke and Gase",4
"61","Caesars",5
"62","Caetano Veloso",1
"63","Cake",30
"64","Camille Saint-Saëns",8
"65","Capital Cities",1
"66","Captain Beefheart & His Magic Band",7
"67","Captain Jack",3
"68","Caravan Palace",15
"69","Carl Nielsen",6
"70","Carlos Jean",7
"71","Carmen Twillie",5
"72","Carpenter Brut",42
"73","Caught a Ghost",10
"74","Charles Mingus",3
"75","Charlie Daniels",2
"76","Charlotte Gainsbourg",5
"77","Chicago",9
"78","Chick Corea",9
"79","Chromatics",3
"80","Citizen",1
"81","Claude Debussy",5
"82","Closure in Moscow",3
"83","Cole Porter",6
"84","Colin Stetson",17
"85","Collective Soul",1
"86","Colonel Claypool's Bucket of Bernie Brains",7
"87","Connie Boswell",6
"88","Crystal Castles",13
"89","Curtis Mayfield",1
"90","Dan Auerbach",1
"91","Danger",4
"92","Daniel Licht",19
"93","Danny Baranowsky",7
"94","Danny Elfman",4
"95","Darren Korb",9
"96","David Bowie",10
"97","David Byrne & St. Vincent",12
"98","Dawn",2
"99","Dead Man's Bones",4
"100","Deafheaven",5
"101","Dear and the Headlights",3
"102","Death",5
"103","Deerhoof",13
"104","Deftones",8
"105","Depeche Mode",5
"106","Dethklok",3
"107","Dexter Freebish",1
"108","DigiClassics",4
"109","Dilated Peoples",8
"110","Dionisio Aguado",6
"111","Disturbing Tha Peace",8
"112","DJ Jazzy Jeff & The Fresh Prince",4
"113","DJ QBert",10
"114","Django Reinhardt",10
"115","Dmitri Shostakovich",3
"116","Doctor P",6
"117","Don't Stop Or We'll Die",3
"118","Donny Osmond",3
"119","Drenge",9
"120","Drowning Pool",8
"121","Duane Eddy",4
"122","Duke Ellington",1
"123","Duran Duran",1
"124","Earl Sweatshirt",8
"125","echo 6",3
"126","Eels",3
"127","Eiffel 65",4
"128","Einojuhani Rautavaara",1
"129","Electric Light Orchestra",17
"130","Electric Six",4
"131","Electric Wizard",24
"132","Elisabeth Leonskaja",1
"133","Ella Fitzgerald",2
"134","Elton John",11
"135","Elvis Presley",15
"136","Emilíana Torrini",7
"137","Ennio Morricone",8
"138","Entrance",10
"139","Erik Satie",2
"140","Ernesto Lecuona",4
"141","Esquivel",14
"142","Eugene Ormandy",4
"143","Evelyn Evelyn",4
"144","Excision",5
"145","Far Out",3
"146","Federico Mompou",1
"147","Felix Mendelssohn",9
"148","FIDLAR",6
"149","Filter",3
"150","Fingathing",2
"151","Finger Eleven",5
"152","Fleetwood Mac",13
"153","Flight of the Conchords",13
"154","Florence + the Machine",4
"155","Fluke",3
"156","Flux Pavilion",4
"157","Foxy Shazam",18
"158","Frank Sinatra",5
"159","Frank Zappa",6
"160","Frankie Valli",10
"161","Franz Ferdinand",19
"162","Franz Liszt",12
"163","Franz Schubert",13
"164","Frédéric Chopin",16
"165","Friendly Fires",5
"166","Fu Manchu",5
"167","Fuck Buttons",3
"168","Fugazi",11
"169","Full of Hell",4
"170","Fuzzy Lights",4
"171","Gary Jules",5
"172","George Ezra",3
"173","George Gershwin",4
"174","Ghostland Observatory",10
"175","Glass Animals",5
"176","Gogol Bordello",3
"177","Goldfinger",7
"178","Goo Goo Dolls",3
"179","Goose",4
"180","Gorillaz",17
"181","Green Day",5
"182","Greenleaf",13
"183","Grouplove",13
"184","Günther",3
"185","Gustav Mahler",13
"186","Guster",5
"187","Haddaway",5
"188","Hank Thompson",7
"189","Hank Williams",10
"190","Harry Roy",1
"191","Hawaiian Music",14
"192","Heitor Villa-Lobos",5
"193","High Contrast",4
"194","Horace Heidt and His Musical Knights",3
"195","Howlin' Wolf",8
"196","Hugo",11
"197","Humanwine",6
"198","IAMX",3
"199","Imogen Heap",7
"200","Inon Zur",1
"201","INXS",4
"202","Iron Butterfly",4
"203","Ivan Wyschnegradsky",2
"204","Jackie Mittoo",7
"205","Jaime Aburto",1
"206","Jeff Buckley",7
"207","Jerry Martin",16
"208","JETFIRE",1
"209","Jets to Brazil",1
"210","Jimi Hendrix",14
"211","João Gilberto",3
"212","Johann Sebastian Bach",33
"213","Johannes Brahms",10
"214","John Adams",18
"215","John Williams",22
"216","John Zorn",6
"217","Johnny Cash",12
"218","Joshua Burnside",4
"219","Jukebox the Ghost",12
"220","Julee Cruise",3
"221","Julia Stone",4
"222","Julian Casablancas + The Voidz",11
"223","Julie Andrews",7
"224","Justice",1
"225","Kaiser Chiefs",4
"226","Kansas",9
"227","Kanye West",5
"228","Kasabian",4
"229","Katy Perry",5
"230","Kazuhito Yamashita",2
"231","Kelly Barrett",20
"232","Kendrick Lamar",26
"233","Ketil Haugsand",3
"234","Kid Koala",22
"235","King Creosote",5
"236","Kongos",4
"237","Kraddy",4
"238","Krassimira Jordan",5
"239","Kvelertak",6
"240","Kyuss",12
"241","La Femme",2
"242","Lana Del Rey",4
"243","Laura Stevenson",4
"244","Lazy Habits",4
"245","Lea Salonga",7
"246","Led Zeppelin",17
"247","Leftfield",5
"248","Leif Ove Andsnes/Bergen Philharmonic Orchestra/Dmitri Kitayenko",16
"249","Les Claypool",9
"250","Lesley Gore",3
"251","LH MUSIC CREATION",6
"252","Light Club",21
"253","Lightning Bolt",9
"254","Linda Ronstadt",4
"255","Lipps, Inc.",8
"256","Lissie",5
"257","Ludwig van Beethoven",3
"258","Luis Bacalov",4
"259","Luis Bonfa",2
"260","Lunar Maps",6
"261","Lyre le temps",2
"262","M|O|O|N",37
"263","Mahavishnu Orchestra",8
"264","Malcolm Middleton",19
"265","Mama Cass",2
"266","Man Man",2
"267","Manchester Orchestra",17
"268","Marielle Nordmann",6
"269","Marilyn Manson",2
"270","Marjan Farsad",6
"271","Mars Red Sky",3
"272","Max Q",1
"273","Meg Myers",13
"274","Megadrive",5
"275","Melechesh",2
"276","Melt-Banana",7
"277","Metallica",13
"278","Metric",2
"279","mewithoutYou",2
"280","MF DOOM",3
"281","MGMT",10
"282","Michael Giacchino",9
"283","Michael Tilson Thomas",8
"284","Michigan Music Works",1
"285","Middle Class Rut",5
"286","Mikal Cronin",7
"287","Mindless Self Indulgence",14
"288","Minimums",4
"289","Modest Mouse",10
"290","MONOBROW",16
"291","Moriarty",2
"292","Mosh",5
"293","Mother Mother",4
"294","Mother of God",9
"295","Mr. Bungle",8
"296","Mr. Oizo",21
"297","Mr. Scruff",8
"298","Mumford & Sons",5
"299","Muse",12
"300","Mutemath",8
"301","My Brightest Diamond",5
"302","My Chemical Romance",7
"303","My Darkest Days",1
"304","Nancy Sinatra",1
"305","Nas",8
"306","Nathan Lane",7
"307","Ne Obliviscaris",5
"308","Neil Cicierega",6
"309","Neutral Milk Hotel",30
"310","Nic Armstrong & The Thieves",3
"311","Nico Vega",21
"312","Nine Inch Nails",13
"313","Nirvana",30
"314","OG Maco",5
"315","OK Go",7
"316","Oliver",7
"317","Open Mind",2
"318","Opeth",27
"319","Orphaned Land",18
"320","Ott",8
"321","OVERWERK",10
"322","Panic! at the Disco with Fun.",5
"323","Passafire",8
"324","Passion Pit",6
"325","Paul Dunmall",1
"326","Paul Osterfield",2
"327","Pendulum",15
"328","Perturbator",23
"329","Peter Hollens",5
"330","Petula Clark",8
"331","Phantom Planet",1
"332","Philip Glass",39
"333","Phutureprimitive",4
"334","Pile",17
"335","Pink Floyd",27
"336","Pixies",11
"337","Pomplamoose",11
"338","Porcupine Tree",8
"339","Portugal. The Man",19
"340","Prenatal Baby",3
"341","Primus",23
"342","Princess Chelsea",6
"343","Pyotr Ilyich Tchaikovsky",5
"344","Quasi",5
"345","Queen",22
"346","Radiohead",22
"347","Ram Jam",4
"348","Ravi Shankar",10
"349","Ray Charles",14
"350","Ray Conniff",3
"351","Red Fang",3
"352","Rednex",3
"353","Reel Big Fish",5
"354","Reggie Watts",7
"355","Regina Spektor",16
"356","Richard Cheese",29
"357","Riverside",5
"358","RJD2",13
"359","RMaster",1
"360","Rob Hubbard",6
"361","Robert Earl Keen",2
"362","Rolfe Kent",6
"363","Rose Royce",4
"364","Rush",4
"365","Santigold",14
"366","Scatman John",5
"367","Scissor Sisters",5
"368","Scott Bradlee",20
"369","Scott BradLee's Postmodern Jukebox",17
"370","Scott Joplin",12
"371","Sergei Prokofiev",11
"372","Sergei Rachmaninoff",7
"373","Sérgio Mendes & Brasil '66",4
"374","Shirley Bassey",2
"375","Shit Robot",1
"376","Shocking Blue",2
"377","Shpongle",14
"378","Shulman",1
"379","Silversun Pickups",4
"380","Simon & Garfunkel",6
"381","Sir Neville Marriner",3
"382","Skullee",6
"383","Sleep",1
"384","Slick Rick",9
"385","Soeur Sourire",4
"386","Son Lux",4
"387","Sonny Rollins",16
"388","Soundgarden",4
"389","Speedy Ortiz",3
"390","Spoon",17
"391","Squarepusher",18
"392","St. Vincent",15
"393","Steve Reich",24
"394","Stevie Wonder",12
"395","Storm Corrosion",3
"396","Streetlight Manifesto",15
"397","Suede",5
"398","Sufjan Stevens",12
"399","Sun Araw",6
"400","Supertramp",6
"401","Suzanne Vega",6
"402","Sylvan Esso",8
"403","System of a Down",7
"404","T-Bone Walker",6
"405","Talking Heads",7
"406","Tame Impala",17
"407","Tatiana Nikolayeva",4
"408","Tears for Fears",12
"409","Tegan and Sara",3
"410","Tennessee Ernie Ford",8
"411","Tex Beneke",3
"412","The Airborne Toxic Event",4
"413","The Animals",7
"414","The Archies",1
"415","The Avalanches",1
"416","The Bastard Fairies",3
"417","The Black Heart Procession",5
"418","The Black Keys",20
"419","The Bloody Beetroots",5
"420","The Bravery",7
"421","The Chemical Brothers",2
"422","The Cyrkle",4
"423","The Dead Weather",17
"424","The Devin Townsend Band",1
"425","The Dø",3
"426","The Doors",12
"427","The Dresden Dolls",4
"428","The Fratellis",8
"429","The Game Music Committee",3
"430","The Glitch Mob",7
"431","The Hush Sound",8
"432","The Ink Spots",6
"433","The Irradiates",11
"434","The Kills",9
"435","The Lonely Island",19
"436","The Lovin' Spoonful",6
"437","The Mamas & the Papas",4
"438","The Marcus Hedges Trend Orchestra",2
"439","The Mars Volta",53
"440","The McGuire Sisters",5
"441","The Night Marchers",3
"442","The Notorious B.I.G.",6
"443","The Offspring",5
"444","The Olivia Tremor Control",20
"445","The Orwells",6
"446","The Pharcyde",7
"447","The Raconteurs",4
"448","The Residents",6
"449","The Rolling Stones",5
"450","The Shadows",4
"451","The Shins",3
"452","The Slew",3
"453","The Smashing Pumpkins",7
"454","The Smiths",3
"455","The Sound of Animals Fighting",9
"456","The String Cheese Incident",4
"457","The Strokes",7
"458","The Surf Zombies",3
"459","The Swingle Singers",2
"460","The Ventures",14
"461","The Vines",5
"462","The Wallflowers",7
"463","The Wombats",2
"464","The xx",1
"465","Thelonious Monk",8
"466","Thelonious Monk Trio",6
"467","Them Crooked Vultures",3
"468","Thomas Barrandon",4
"469","Tilly and the Wall",4
"470","Tindersticks",2
"471","Tiny Tim",10
"472","Tom Jones",3
"473","Tom Waits",7
"474","Toquinho",1
"475","Torley Wong",11
"476","Torres",10
"477","Tosca",5
"478","Toto",6
"479","Tove Lo",4
"480","Troy Samuela",3
"481","Truckfighters",20
"482","Tumbao",3
"483","tUnE-yArDs",7
"484","twenty one pilots",25
"485","Two Door Cinema Club",2
"486","Tyler, the Creator",5
"487","Underworld",1
"488","Unknown Mortal Orchestra",11
"489","USSR State Academic Symphony Orchestra",7
"490","Valentina Lisitsa",2
"491","Vampire Weekend",4
"492","Vermillion Lies",10
"493","Vince de Vera & Jason Garner",6
"494","Vinícius de Moraes",12
"495","Washed Out",7
"496","Weedeater",4
"497","Weezer",17
"498","Why?",5
"499","Wolfgang Amadeus Mozart",2
"500","Woody Guthrie",3
"501","X Ambassadors",4
"502","Yeasayer",2
"503","Younger Brother",4
"504","Yuna",7
"505","Zeds Dead",3
"506","Zox",6
"507","Zs",2
"508","Алексей Владимирович Станчинский",5
"509","Николай Карлович Метнер",5
"510","Արամ Խաչատրյան",4
"511","久石譲",5
"512","植松伸夫",1
